NumberOfDataSets,AverageTime,StandardDeviation
100.0,0.052314057599869554,0.016636639911296977
111200.0,10.35655920939971,0.5066284430262235
222300.0,22.57746690439999,0.4546967995139535
333400.0,32.953091762200344,0.2846919286358411
444500.0,44.0876151573997,0.825213182011369
555600.0,57.40291124599971,0.4223997140574609
666700.0,68.9637283529999,0.30828449962808746
777800.0,79.90966707939916,0.5782742556328772
888900.0,91.1131039852,0.8422724287967348
1000000.0,103.1206366479997,1.7289763197088421
