NumberOfDataSets,AverageTime,StandardDeviation
100.0,0.02163142720091855,0.0007402681863893722
111200.0,15.907515990998945,0.1607989973443206
222300.0,31.56661520980051,0.5317722887085422
333400.0,47.09666807760004,1.030930339608708
444500.0,64.05121323420099,2.543938494271658
555600.0,77.03638408260085,1.250312485891477
666700.0,92.6618105018002,1.4691488245552915
777800.0,108.33737533340027,1.4652382333536513
888900.0,123.73637520859992,1.430692917033071
1000000.0,140.52684194899993,3.1150400385553865
